GridID,NextDownID,Length
479583,479652,0.524
479651,479652,2.656
479564,479653,0.5
479635,479653,0.141
479475,479655,1.349
479672,479655,1.907
479587,479657,0.441
479656,479657,1.107
479607,479670,0.483
479685,479670,0.566
479639,479672,0.283
479673,479672,0.1
479642,479688,0.424
479687,479688,0.2
479634,479692,0.524
479669,479692,0.2
479712,479695,0.1
479736,479695,0.483
479674,479696,0.2
479715,479696,0.441
479590,479699,1.024
479662,479699,0.341
479610,479700,0.724
479701,479700,1.349
479654,479710,0.524
479671,479710,1.024
479570,479712,1.066
479640,479712,1.607
479688,479714,1.283
479713,479714,0.724
479714,479715,0.483
479739,479715,2.19
479696,479716,0.841
479697,479716,0.141
479572,479718,1.066
479717,479718,1.266
479692,479732,0.241
479693,479732,0.383
479586,479733,1.107
479694,479733,2.424
479659,479737,0.541
479695,479737,1.424
479460,479753,1.966
479660,479753,1.566
479710,479759,0.424
479776,479759,1.266
479657,479760,1.149
479735,479760,0.383
479608,479763,1.249
479718,479763,0.924
479637,479773,1.024
479733,479773,0.824
479606,479774,1.69
479775,479774,0.9
479670,479775,1.89
479795,479775,0.141
479686,479777,0.683
479737,479777,0.724
479588,479778,1.49
479762,479778,0.383
479609,479779,2.414
479698,479779,0.583
479676,479780,0.949
479700,479780,1.007
479652,479793,1.024
479752,479793,0.424
479732,479808,0.766
479809,479808,0.1
479530,479810,2.007
479759,479810,1.824
479709,479834,1.049
479835,479834,0.1
479632,479835,1.831
479853,479835,0.624
479738,479836,0.7
479761,479836,1.849
479571,479837,1.99
479778,479837,0.666
479668,479848,1.914
479822,479848,0.283
479849,479848,0.4
479793,479852,0.524
479851,479852,0.2
479807,479853,1.007
479893,479853,0.924
479605,479854,5.038
479794,479854,0.483
479711,479855,0.983
479811,479855,0.424
479777,479857,2.414
480003,479857,0.924
479834,479864,0.383
479852,479864,0.541
479779,479865,0.683
479838,479865,0.483
479655,479876,1.973
479877,479876,1.507
479982,479877,0.724
479998,479877,0.841
479760,479881,0.924
479880,479881,0.841
479658,479882,1.749
479883,479882,0.541
479773,479894,1.366
479914,479894,1.166
479376,479896,4.563
479857,479896,1.066
479511,479897,2.149
479716,479897,2.307
479699,479899,1.731
479885,479899,0.1
479774,479917,0.941
479895,479917,0.741
479796,479919,0.924
479881,479919,0.783
479882,479920,0.383
479938,479920,0.283
479836,479923,1.049
479940,479923,1.107
479780,479924,0.9
479941,479924,1.807
479854,479934,0.624
479915,479934,1.066
479855,479935,0.5
479950,479935,0.841
479856,479937,0.5
479920,479937,0.241
479922,479939,0.1
479923,479939,0.341
479955,479941,2.29
479984,479941,0.583
479638,479950,2.166
479876,479950,1.066
479968,479950,1.107
479937,479951,0.241
479970,479951,0.1
479898,479954,0.341
479953,479954,0.1
479653,479966,2.331
479967,479966,0.2
479894,479967,1.266
479981,479967,1.931
479936,479969,0.2
479951,479969,0.841
479949,479980,0.583
479964,479980,0.141
479999,479982,0.283
480048,479982,0.666
479921,479983,1.949
480001,479983,1.531
479758,479996,1.666
479934,479996,1.224
479810,479997,1.449
479935,479997,1.566
479879,480000,0.907
479918,480000,0.583
479983,480002,0.783
480035,480002,1.773
480002,480003,0.724
480049,480003,1.324
480018,480005,1.283
480051,480005,2.973
479675,480006,2.39
480007,480006,0.4
479952,480018,2.249
480050,480018,1.714
479865,480019,0.941
480020,480019,2.473
480077,480020,0.824
480167,480020,1.324
479864,480033,1.166
480032,480033,1.624
479808,480034,2.056
479966,480034,1.566
479897,480036,2.414
480005,480036,1.331
479754,480037,1.966
479884,480037,0.983
480033,480044,0.383
480073,480044,0.866
479996,480047,0.824
480046,480047,2.214
